"one_16x6","twelve_3x3"
0.0965238,0.2879851
0.1106926,0.2305538
0.3268936,0.382513
0.4179645,0.1991603
0.3303788,0.8288883
0.5111668,0.3284942
0.3176468,0.2193808
NA,0.290952
0.3898863,0.1964215
0.4613865,0.2487493
0.3902777,0.3059959
0.428029,0.2463515
0.1006284,0.3155397
0.4336112,0.2438157
0.4082818,0.3862275
0.2131798,0.143812
0.2093333,0.2469704
0.3729378,0.2245311
0.2749932,0.1210871
0.1762634,0.1959333
0.2187801,0.3873536
0.1057118,0.0546717
0.3019405,0.3637755
0.2805023,0.1232416
0.4379889,0.3039681
NA,0.1297451
0.3392729,0.2634366
0.3830891,0.2956444
0.3305798,0.2968947
0.1766459,0.2012031
0.5631641,0.3235597
0.322776,0.304441
0.3290279,0.6289549
0.2738131,0.210235
0.0898374,0.2311166
0.1072256,0.2283944
0.2007732,0.2610914
0.4385474,0.2543397
0.1857202,0.1775378
0.2119233,0.2845192
0.2379746,0.28871
0.3491933,0.3538409
0.1994341,0.3107318
0.2976197,0.3707596
0.3149994,0.2347083
0.1853886,0.2802026
NA,0.249211
0.4244414,0.3852618
0.3711539,0.3112516
0.298007,0.2900637
0.4328158,0.1673687
NA,0.126735
0.4224646,0.245466
0.1823635,0.3068117
0.2444055,0.1195021
0.2172751,0.1691259
0.1980459,0.1536993
NA,0.3567441
0.1045716,0.297626
0.2535,0.1896511
0.2698594,0.3375484
0.1879786,0.3252706
0.351519,0.2029875
0.197481,0.3973204
NA,0.1862195
0.3196797,0.2503389
0.3630636,0.188838
0.2173932,0.1245364
0.3310344,0.2880717
0.300337,0.1166768
0.2967516,0.2594944
0.1050134,0.3777449
0.202015,0.2288154
0.1101793,0.1862095
0.128283,0.2607411
0.375339,0.3229233
NA,0.2469532
0.1889518,0.2939677
0.17156,0.2820097
0.3069126,0.3229171
0.2095498,0.2740603
0.0894768,0.2078104
0.0794184,0.562552
NA,0.2751332
0.4380222,0.3100622
0.3896102,0.1888992
0.2921974,0.3303031
0.2720775,0.3221956
NA,0.2389689
0.3175715,0.285925
0.401271,0.4237242
0.2996977,0.248745
0.3390938,0.2799639
0.2364269,0.2064454
0.0899078,0.3254535
0.2991205,0.2149843
0.2792886,0.2768558
0.2744995,0.3037011
0.4226897,0.1742763
0.4140135,0.2450333
0.3356101,0.2715074
0.1835165,0.3272448
0.3436403,0.1955938
0.3077664,0.3381254
0.3474599,0.3008023
0.343531,0.3282966
0.1847127,0.3315928
0.5005406,0.1982445
0.124482,0.2487416
0.3786394,0.2542638
0.2364579,0.2745192
NA,0.2843712
0.3394001,0.242189
0.2118026,0.2822976
0.3005519,0.2510776
0.1901113,0.3385843
0.1976163,0.3199672
0.2109581,0.2582647
0.4860772,0.3364451
0.2542264,0.2346905
0.10779,0.1138867
0.1943413,0.281896
0.1728485,0.37709
0.3537377,0.2639003
0.2968994,0.1110184
0.2028222,0.1620143
0.1336234,0.2378002
0.4006475,0.3433681
0.1942905,0.2346327
0.3667519,0.2296631
0.2117795,0.2375488
0.3509515,0.2973425
0.3096524,0.1729571
0.2388691,0.2813675
0.1669026,0.2636261
0.1020519,0.3309299
0.2344602,0.2930494
0.1893515,0.3291394
0.3748148,0.3143271
0.3841177,0.2388244
0.290005,0.1862745
0.2892553,0.3386105
0.167935,0.258681
0.2903287,0.2569934
0.25975,0.3747259
0.3017372,0.3063614
0.1078268,0.1939822
0.1928599,0.1819
0.3805854,0.2519862
